ensembl_id,most_likely_path,max_PP,gene_symbol
ENSG00000112695,Down-Down-Up,0.5006,COX7A2
ENSG00000112715,Up-Down-Up,0.6061,VEGFA
ENSG00000112742,Down-Up-Down,0.5225,TTK
ENSG00000112984,Down-Up-Up,0.5002,KIF20A
ENSG00000113141,Down-Up-Down,0.5015,IK
ENSG00000113369,Down-Up-Down,0.524,ARRDC3
ENSG00000113716,Down-Down-Up,0.5003,HMGXB3
ENSG00000114062,Down-Up-Down,0.5019,UBE3A
ENSG00000114107,Down-Up-Down,0.5059,CEP70
ENSG00000114388,Down-Down-Up,0.5248,NPRL2
ENSG00000114812,Up-Down-Up,0.5517,VIPR1
ENSG00000114857,Up-Down-Down,0.5041,NKTR
ENSG00000115145,Down-Up-Down,0.5041,STAM2
ENSG00000115266,Up-Down-Up,0.5112,APC2
ENSG00000115268,Up-Down-Up,0.5478,RPS15
ENSG00000115339,Down-Up-Down,0.5003,GALNT3
ENSG00000115355,Down-Up-Down,0.5184,CCDC88A
ENSG00000115504,Down-Up-Down,0.6081,EHBP1
ENSG00000115694,Up-Down-Up,0.558,STK25
ENSG00000116044,Down-Up-Down,0.5025,NFE2L2
ENSG00000116213,Up-Down-Up,0.5614,WRAP73
ENSG00000116691,Up-Down-Up,0.5739,MIIP
ENSG00000117318,Down-Up-Down,0.775,ID3
ENSG00000117448,Down-Down-Up,0.5265,AKR1A1
ENSG00000117505,Down-Up-Down,0.5007,DR1
ENSG00000118193,Down-Up-Down,0.5647,KIF14
ENSG00000118363,Down-Up-Down,0.5065,SPCS2
ENSG00000118564,Down-Up-Down,0.9152,FBXL5
ENSG00000118898,Up-Down-Up,0.5371,PPL
ENSG00000119333,Up-Down-Up,0.5368,WDR34
ENSG00000119559,Up-Down-Up,0.5545,C19orf25
ENSG00000119844,Down-Up-Down,0.5155,AFTPH
ENSG00000120256,Down-Up-Down,0.5129,LRP11
ENSG00000120686,Down-Up-Down,0.5971,UFM1
ENSG00000120837,Down-Up-Down,0.5196,NFYB
ENSG00000120913,Up-Down-Up,0.5976,PDLIM2
ENSG00000121236,Down-Up-Down,0.5375,TRIM6
ENSG00000121274,Down-Up-Down,0.5081,TENT4B
ENSG00000121621,Down-Up-Down,0.7921,KIF18A
ENSG00000121749,Down-Up-Down,0.5208,TBC1D15
ENSG00000121851,Down-Up-Down,0.5092,POLR3GL
ENSG00000121900,Up-Down-Up,0.5587,TMEM54
ENSG00000121931,Down-Up-Down,0.5724,LRIF1
ENSG00000122257,Down-Up-Down,0.5286,RBBP6
ENSG00000122483,Down-Up-Down,0.6722,CCDC18
ENSG00000122490,Up-Down-Up,0.52,PQLC1
ENSG00000122958,Down-Up-Down,0.5017,VPS26A
ENSG00000123159,Up-Down-Up,0.5663,GIPC1
ENSG00000123200,Down-Up-Down,0.5219,ZC3H13
ENSG00000123933,Up-Down-Up,0.5678,MXD4
ENSG00000124104,Up-Down-Up,0.552,SNX21
ENSG00000124574,Up-Down-Up,0.5835,ABCC10
ENSG00000124783,Down-Up-Down,0.524,SSR1
ENSG00000124882,Down-Up-Down,0.5528,EREG
ENSG00000125503,Up-Down-Up,0.5127,PPP1R12C
ENSG00000125817,Up-Up-Down,0.5785,CENPB
ENSG00000125826,Up-Down-Up,0.5166,RBCK1
ENSG00000125952,Down-Up-Down,0.518,MAX
ENSG00000125967,Up-Down-Up,0.5093,NECAB3
ENSG00000125968,Down-Up-Down,0.8026,ID1
ENSG00000125995,Up-Down-Up,0.5715,ROMO1
ENSG00000126215,Up-Down-Up,0.6407,XRCC3
ENSG00000126391,Up-Down-Up,0.5666,FRMD8
ENSG00000126461,Up-Up-Down,0.7073,SCAF1
ENSG00000126756,Down-Down-Up,0.5552,UXT
ENSG00000126787,Down-Up-Down,0.523,DLGAP5
ENSG00000127399,Up-Down-Up,0.5187,LRRC61
ENSG00000127419,Up-Down-Up,0.5238,TMEM175
ENSG00000127511,Up-Down-Up,0.5241,SIN3B
ENSG00000127533,Up-Down-Up,0.5984,F2RL3
ENSG00000127586,Up-Down-Up,0.5174,CHTF18
ENSG00000127914,Down-Up-Down,0.7438,AKAP9
ENSG00000128159,Up-Down-Up,0.6069,TUBGCP6
ENSG00000128185,Up-Down-Up,0.5619,DGCR6L
ENSG00000128590,Down-Up-Down,0.9178,DNAJB9
ENSG00000128626,Up-Down-Up,0.5562,MRPS12
ENSG00000129128,Down-Up-Down,0.7053,SPCS3
ENSG00000129317,Down-Down-Down,0.5515,PUS7L
ENSG00000129534,Down-Up-Down,0.542,MIS18BP1
ENSG00000129562,Down-Down-Up,0.5002,DAD1
ENSG00000129566,Up-Down-Up,0.5277,TEP1
ENSG00000129680,Down-Up-Down,0.5018,MAP7D3
ENSG00000129810,Down-Up-Down,0.5146,SGO1
ENSG00000129925,Up-Down-Up,0.5209,TMEM8A
ENSG00000129968,Up-Down-Up,0.5496,ABHD17A
ENSG00000130255,Up-Down-Up,0.5528,RPL36
ENSG00000130299,Up-Down-Up,0.5488,GTPBP3
ENSG00000130511,Up-Down-Up,0.5133,SSBP4
ENSG00000130589,Up-Down-Up,0.546,HELZ2
ENSG00000130669,Up-Up-Down,0.5731,PAK4
ENSG00000130702,Up-Down-Up,0.5052,LAMA5
ENSG00000130731,Up-Down-Up,0.5687,METTL26
ENSG00000130734,Up-Down-Up,0.5435,ATG4D
ENSG00000130827,Up-Down-Up,0.5365,PLXNA3
ENSG00000131171,Down-Up-Down,0.505,SH3BGRL
ENSG00000131435,Up-Down-Up,0.5546,PDLIM4
ENSG00000131584,Up-Down-Up,0.6349,ACAP3
ENSG00000131591,Up-Down-Up,0.5272,C1orf159
ENSG00000131899,Up-Down-Up,0.5808,LLGL1
ENSG00000132017,Up-Down-Up,0.5124,DCAF15
ENSG00000132424,Up-Down-Down,0.5316,PNISR
ENSG00000132481,Up-Down-Up,0.538,TRIM47
ENSG00000132635,Up-Down-Up,0.6338,PCED1A
ENSG00000132821,Up-Down-Up,0.5493,VSTM2L
ENSG00000133243,Up-Down-Up,0.5586,BTBD2
ENSG00000133265,Up-Down-Up,0.5293,HSPBP1
ENSG00000133612,Up-Down-Up,0.5286,AGAP3
ENSG00000133773,Down-Up-Down,0.524,CCDC59
ENSG00000134057,Down-Up-Up,0.5,CCNB1
ENSG00000134690,Down-Up-Up,0.5,CDCA8
ENSG00000134825,Down-Down-Up,0.5724,TMEM258
ENSG00000134970,Down-Up-Down,0.5013,TMED7
ENSG00000135002,Down-Up-Down,0.5002,RFK
ENSG00000135521,Down-Up-Down,0.5797,LTV1
ENSG00000135596,Up-Down-Up,0.5086,MICAL1
ENSG00000136270,Up-Down-Up,0.53,TBRG4
ENSG00000136603,Down-Up-Down,0.5255,SKIL
ENSG00000136819,Down-Up-Down,0.5426,C9orf78
ENSG00000137700,Down-Down-Up,0.5209,SLC37A4
ENSG00000137812,Down-Up-Down,0.5165,KNL1
ENSG00000137818,Up-Down-Up,0.6979,RPLP1
ENSG00000138160,Down-Up-Down,0.5069,KIF11
ENSG00000138166,Down-Down-Up,0.504,DUSP5
ENSG00000138180,Down-Up-Down,0.5074,CEP55
ENSG00000138182,Down-Up-Down,0.7354,KIF20B
ENSG00000138398,Down-Up-Down,0.5455,PPIG
ENSG00000138433,Down-Up-Down,0.5129,CIR1
ENSG00000138709,Down-Up-Down,0.5995,LARP1B
ENSG00000138768,Down-Up-Down,0.5346,USO1
ENSG00000138778,Down-Up-Down,0.9187,CENPE
ENSG00000138834,Up-Down-Up,0.7249,MAPK8IP3
ENSG00000139289,Down-Up-Down,0.5,PHLDA1
ENSG00000139350,Up-Down-Down,0.5203,NEDD1
ENSG00000139734,Down-Up-Down,0.5014,DIAPH3
ENSG00000139880,Up-Down-Up,0.5653,CDH24
ENSG00000140259,Down-Up-Down,0.5383,MFAP1
ENSG00000140365,Up-Down-Up,0.6307,COMMD4
ENSG00000140400,Up-Down-Up,0.6603,MAN2C1
ENSG00000140859,Up-Down-Up,0.507,KIFC3
ENSG00000140983,Up-Down-Up,0.6834,RHOT2
ENSG00000140995,Up-Down-Up,0.5291,DEF8
ENSG00000141258,Up-Down-Up,0.6547,SGSM2
ENSG00000141295,Up-Down-Up,0.5522,SCRN2
ENSG00000141524,Up-Down-Up,0.5103,TMC6
ENSG00000141959,Up-Down-Up,0.5075,PFKL
ENSG00000142208,Up-Down-Up,0.5074,AKT1
ENSG00000142327,Up-Down-Up,0.628,RNPEPL1
ENSG00000142546,Up-Down-Up,0.5274,NOSIP
ENSG00000143401,Down-Up-Down,0.5051,ANP32E
ENSG00000143507,Down-Up-Down,0.5511,DUSP10
ENSG00000143537,Up-Down-Up,0.5192,ADAM15
ENSG00000143545,Down-Up-Down,0.5266,RAB13
ENSG00000143774,Up-Down-Up,0.6449,GUK1
ENSG00000143816,Up-Down-Up,0.579,WNT9A
ENSG00000144674,Down-Up-Down,0.8777,GOLGA4
ENSG00000145214,Up-Down-Up,0.5479,DGKQ
ENSG00000145375,Down-Up-Down,0.5572,SPATA5
ENSG00000145833,Down-Up-Down,0.5867,DDX46
ENSG00000146067,Up-Down-Up,0.5886,FAM193B
ENSG00000146094,Up-Down-Up,0.5326,DOK3
ENSG00000146828,Up-Down-Up,0.6125,SLC12A9
ENSG00000146830,Up-Down-Up,0.5858,GIGYF1
ENSG00000146858,Down-Down-Up,0.5014,ZC3HAV1L
ENSG00000147403,Down-Down-Up,0.5015,RPL10
ENSG00000147649,Down-Up-Down,0.5017,MTDH
ENSG00000148341,Up-Down-Up,0.6393,SH3GLB2
ENSG00000148343,Up-Down-Up,0.5518,MIGA2
ENSG00000148362,Up-Down-Up,0.7456,PAXX
ENSG00000148384,Up-Down-Up,0.5778,INPP5E
ENSG00000148690,Down-Up-Down,0.5286,FRA10AC1
ENSG00000149091,Up-Down-Up,0.5335,DGKZ
ENSG00000149212,Down-Up-Down,0.6012,SESN3
ENSG00000149541,Up-Down-Up,0.6258,B3GAT3
ENSG00000149761,Up-Down-Up,0.5106,NUDT22
ENSG00000149798,Up-Down-Up,0.5649,CDC42EP2
ENSG00000149929,Down-Up-Down,0.5565,HIRIP3
ENSG00000150593,Down-Up-Down,0.5964,PDCD4
ENSG00000150768,Down-Up-Down,0.5012,DLAT
ENSG00000151012,Down-Up-Down,0.9235,SLC7A11
ENSG00000151135,Down-Up-Down,0.5086,TMEM263
ENSG00000151292,Down-Up-Down,0.5011,CSNK1G3
ENSG00000151304,Down-Up-Down,0.5921,SRFBP1
ENSG00000151461,Down-Up-Down,0.544,UPF2
ENSG00000151466,Down-Up-Down,0.5412,SCLT1
ENSG00000151651,Up-Down-Up,0.5062,ADAM8
ENSG00000151835,Down-Down-Down,0.5004,SACS
